"walkability","city","gini","median_household_income_2015","median_household_income_2015_binned"
74.8,"Chicago, IL",0.238143660055,50702,"(44804, 51407]"
87.6,"New York, NY",0.2070544235,55752,"(51407, 58807]"
44.2,"Houston, TX",0.27709967174,48064,"(44804, 51407]"
83.9,"San Francisco, CA",0.226543713436,92094,"(58807, 112263]"
63.9,"Los Angeles, CA",0.25066416633,52024,"(51407, 58807]"
48.5,"San Diego, CA",0.268068463017,67871,"(58807, 112263]"
35.4,"Austin, TX",0.265808282031,62250,"(58807, 112263]"
45.9,"Atlanta, GA",0.266707668421,50210,"(44804, 51407]"
48.1,"San Jose, CA",0.26401797347,91451,"(58807, 112263]"
33.7,"San Antonio, TX",0.290095340029,48869,"(44804, 51407]"
76.5,"Philadelphia, PA",0.266502233986,41233,"[28831, 44804]"
70.8,"Seattle, WA",0.2456660338,80349,"(58807, 112263]"
38.6,"Las Vegas, NV",0.287861364885,49676,"(44804, 51407]"
75.6,"Miami, FL",0.277337099186,29989,"[28831, 44804]"
43.6,"Dallas, TX",0.254908212407,45918,"(44804, 51407]"
39.3,"Orlando, FL",0.270158885604,44804,"[28831, 44804]"
62.8,"Portland, OR",0.270599582633,60892,"(58807, 112263]"
74.1,"Washington, DC",0.22547834999,75628,"(58807, 112263]"
55.7,"Denver, CO",0.25938811919,58003,"(51407, 58807]"
38.3,"Phoenix, AZ",0.272716924641,48452,"(44804, 51407]"
79.5,"Boston, MA",0.217539294736,58263,"(51407, 58807]"
24.4,"Charlotte, NC",0.269453567837,53919,"(51407, 58807]"
65.4,"Minneapolis, MN",0.249767376574,54571,"(51407, 58807]"
40,"Columbus, OH",0.287325687563,47401,"(44804, 51407]"
28.7,"Indianapolis, IN",0.275757036386,41278,"[28831, 44804]"
59.8,"Saint Louis, MO",0.28501544865,38397,"[28831, 44804]"
66.2,"Baltimore, MD",0.250673798967,44165,"[28831, 44804]"
25.5,"Jacksonville, FL",0.291002326583,48239,"(44804, 51407]"
59.8,"Pittsburgh, PA",0.258504115813,41293,"[28831, 44804]"
43.4,"Sacramento, CA",0.280830911274,52151,"(51407, 58807]"
56.8,"Cleveland, OH",0.295561038071,28831,"[28831, 44804]"
28.8,"Raleigh, NC",0.273729132472,56910,"(51407, 58807]"
26.5,"Nashville, TN",0.289089714164,51393,"(44804, 51407]"
31.6,"Fort Worth, TX",0.299688061458,55888,"(51407, 58807]"
38.9,"Tucson, AZ",0.30269814733,38155,"[28831, 44804]"
46.3,"Tampa, FL",0.28106576547,44432,"[28831, 44804]"
33,"Colorado Springs, CO",0.290991624178,56079,"(51407, 58807]"
31.6,"Oklahoma City, OK",0.285319803074,50739,"(44804, 51407]"
39.6,"Albuquerque, NM",0.271601492474,47096,"(44804, 51407]"
32.1,"Kansas City, MO",0.281341868303,50259,"(44804, 51407]"
68.5,"Oakland, CA",0.240340466102,58807,"(51407, 58807]"
31.2,"Louisville, KY",0.287587945999,48100,"(44804, 51407]"
49.2,"Richmond, VA",0.271808931516,39906,"[28831, 44804]"
47.4,"Madison, WI",0.253373081156,57690,"(51407, 58807]"
38.7,"El Paso, TX",0.277412141925,45069,"(44804, 51407]"
59.4,"Milwaukee, WI",0.263943135269,37495,"[28831, 44804]"
56,"Saint Paul, MN",0.24349084684,50267,"(44804, 51407]"
65.8,"Long Beach, CA",0.261531284527,54971,"(51407, 58807]"
36.4,"Plano, TX",0.263383977443,83769,"(58807, 112263]"
56.3,"New Orleans, LA",0.269563705447,39077,"[28831, 44804]"
43.9,"Irvine, CA",0.262133292977,93781,"(58807, 112263]"
62.6,"Honolulu, HI",0.263758821915,64658,"(58807, 112263]"
41.1,"Omaha, NE",0.266062984673,51407,"(44804, 51407]"
50.1,"Cincinnati, OH",0.264922933061,35001,"[28831, 44804]"
67.1,"Arlington, VA",0.232464519404,106768,"(58807, 112263]"
44.5,"Fremont, CA",0.268405452169,112263,"(58807, 112263]"
31.1,"Virginia Beach, VA",0.298765257783,67281,"(58807, 112263]"
42.1,"Fresno, CA",0.26452857649,43494,"[28831, 44804]"
33,"Memphis, TN",0.282665406221,36908,"[28831, 44804]"
33.9,"Lexington, KY",0.267323411261,51948,"(51407, 58807]"
37.5,"Baton Rouge, LA",0.270552515698,41224,"[28831, 44804]"
84.4,"Jersey City, NJ",0.218648755463,59485,"(58807, 112263]"
38.4,"Aurora, CO",0.292817757293,58445,"(51407, 58807]"
28.1,"Durham, NC",0.265395009874,52106,"(51407, 58807]"
36,"Tulsa, OK",0.285110245078,43322,"[28831, 44804]"
34.6,"Arlington, TX",0.309603927938,53487,"(51407, 58807]"
50.6,"Anaheim, CA",0.278900354954,63104,"(58807, 112263]"
27.6,"Henderson, NV",0.273709258385,64035,"(58807, 112263]"
28.9,"Scottsdale, AZ",0.294677104637,75346,"(58807, 112263]"
