country,gender,steps_gini,obesity_mean
United States,female,0.298479136561,0.248634061834
United States,male,0.267752171673,0.284919902511
United Kingdom,male,0.264650760454,0.207032457496
United Kingdom,female,0.281584530822,0.171708986134
Japan,male,0.23989267914,0.0547990700764
Japan,female,0.264019148813,0.0430107526882
Saudi Arabia,male,0.263556090156,0.299412915851
Saudi Arabia,female,0.330548829075,0.205776173285
China,male,0.230571763412,0.048718670797
Canada,female,0.294564757893,0.193030719853
Canada,male,0.271621381091,0.246621621622
Australia,male,0.276304080314,0.229559748428
Australia,female,0.305251849884,0.179890560876
China,female,0.229713739515,0.0157197395015
Germany,male,0.252754575147,0.15500234852
India,male,0.273559161919,0.167393675027
France,male,0.259388966141,0.0949742777998
Spain,male,0.249859652233,0.149137931034
Russia,male,0.257366609211,0.155486219449
Netherlands,male,0.250321609049,0.109838625716
Germany,female,0.278553843429,0.0973986690865
Italy,male,0.257753585563,0.108723135272
Singapore,male,0.243959590203,0.113125453227
Mexico,male,0.25293622745,0.231474407945
Russia,female,0.263060230477,0.0587314017228
France,female,0.272832617429,0.0729984301413
United Arab Emirates,male,0.252179519874,0.24135021097
Sweden,male,0.239598929366,0.142372881356
South Korea,male,0.235945119389,0.062445793582
Hong Kong,male,0.215156906119,0.0767172167707
Netherlands,female,0.259966912738,0.100460829493
Turkey,male,0.248001964831,0.183177570093
Sweden,female,0.233971147381,0.0956848030019
Brazil,male,0.258227989457,0.214495592556
India,female,0.30258253173,0.174776564052
Norway,male,0.243364856964,0.137435897436
Spain,female,0.249936920098,0.0757097791798
Taiwan,male,0.240230251271,0.0917926565875
Thailand,male,0.255301970698,0.103711790393
Turkey,female,0.247942467078,0.0742358078603
Denmark,male,0.241269627859,0.119820828667
Norway,female,0.250827176369,0.100571428571
Singapore,female,0.239138032487,0.0597014925373
Malaysia,male,0.251333600153,0.147699757869
Belgium,male,0.255678654958,0.106356968215
South Africa,male,0.247661263908,0.276843467012
Switzerland,male,0.243484781271,0.103674540682
Malaysia,female,0.285842388042,0.132352941176
Italy,female,0.273537676096,0.0411522633745
Hong Kong,female,0.209453625572,0.0208913649025
Mexico,female,0.274908813541,0.107843137255
Indonesia,male,0.27460834529,0.134199134199
Denmark,female,0.256605409337,0.10237388724
Czech Republic,male,0.236917031454,0.168421052632
New Zealand,female,0.293072392896,0.168469860896
Ireland,female,0.273964246738,0.135433070866
Ireland,male,0.26170777553,0.207667731629
New Zealand,male,0.278799526112,0.228663446055
United Arab Emirates,female,0.281347298175,0.14858096828
Poland,male,0.248403391213,0.128813559322
South Korea,female,0.261896000229,0.0449826989619
Thailand,female,0.278201489689,0.0658362989324
Belgium,female,0.282448635492,0.0790513833992
Taiwan,female,0.259990237254,0.0336633663366
Philippines,male,0.281969920878,0.180873180873
Philippines,female,0.306191467614,0.103004291845
Ukraine,male,0.237931850195,0.136363636364
Greece,male,0.287199469265,0.205542725173
South Africa,female,0.279604033367,0.206572769953
Switzerland,female,0.244151185865,0.055023923445
Israel,male,0.241545336317,0.157004830918
Brazil,female,0.258203166278,0.0958230958231
Portugal,male,0.266040555868,0.140350877193
Ukraine,female,0.247105871849,0.0367231638418
Romania,male,0.271283724606,0.163323782235
Finland,male,0.259755208389,0.155172413793
Finland,female,0.250494010801,0.0847953216374
Poland,female,0.260006936352,0.0526315789474
Hungary,male,0.258324386933,0.149700598802
Indonesia,female,0.265103902853,0.0492307692308
Qatar,male,0.253212925964,0.269841269841
Czech Republic,female,0.248841156422,0.0610687022901
Egypt,male,0.289960248027,0.252
Chile,male,0.252808898436,0.145228215768
Israel,female,0.254119577827,0.128318584071
Portugal,female,0.265816326225,0.0545454545455
Romania,female,0.291845706057,0.063829787234
Hungary,female,0.282912349599,0.0493827160494
Greece,female,0.283732479364,0.103448275862
Chile,female,0.265921647013,0.113475177305
Qatar,female,0.272290983158,0.208955223881
Egypt,female,0.255023860936,0.127450980392
