"gender","age","n","steps_mean","lower.ci","upper.ci"
"male","[15, 20)",11155,5648.56182908496,5600.83861048261,5697.48994789251
"male","[20, 30)",41788,6073.77708360742,6048.28527251378,6100.30347034827
"male","[30, 40)",51778,5723.53377944786,5700.22741220237,5746.16889861456
"male","[40, 50)",40001,5507.21390653094,5479.78440364763,5532.6506499857
"male","[50, 60)",22260,5296.64774252987,5262.00024664339,5332.23614717501
"male","[60, 70)",10660,4921.71357069559,4869.37096508597,4971.5551027565
"male","[70, inf)",3058,4154.71817262378,4063.55293581587,4244.67685243503
"female","[15, 20)",19215,4551.34120848072,4521.1255363294,4581.18926941909
"female","[20, 30)",48081,4802.85830226893,4781.92238063165,4824.38585770696
"female","[30, 40)",33929,4341.73398991939,4317.67379710278,4368.47042819685
"female","[40, 50)",23187,4172.47399214541,4143.41626571351,4202.4165996795
"female","[50, 60)",16632,3984.65992742529,3944.29792698804,4021.7786240895
"female","[60, 70)",7164,3606.07429255683,3550.81564521119,3660.97138035859
"female","[70, inf)",1611,2990.11549953298,2878.86077717108,3095.17813188835
