Gender,group,intercept,intercept_lower50,intercept_upper50,intercept_lower95,intercept_upper95,slope,slope_lower50,slope_upper50,slope_lower95,slope_upper95
female,"Age=[0, 30)",3534.17239958,3431.0641659,3637.28063326,3234.44847692,3833.89632224,29.9813537838,28.27437914,31.6883284277,25.0193723989,34.9433351688
female,"Age=[30, 50)",2729.73962767,2637.39466876,2822.08458658,2461.30904294,2998.1702124,34.7254427636,33.1883166141,36.2625689131,30.2572868839,39.1935986433
female,"Age=[50, inf)",3052.34626286,2903.0308493,3201.66167642,2618.13018795,3486.56233777,21.9427978238,19.3405946772,24.5450009705,14.3754716547,29.510123993
female,"BMI=[18.5, 25)",3372.77348131,3279.07892518,3466.46803745,3100.43150992,3645.11545271,32.0877334285,30.5677529437,33.6077139133,27.669606071,36.505860786
female,"BMI=[25, 30)",3281.89535954,3156.75679675,3407.03392232,2918.06204122,3645.72867786,28.1340873345,25.9918341311,30.276340538,21.9056068857,34.3625677834
female,"BMI=[30, inf)",2745.34438883,2627.04881025,2863.63996741,2401.36760715,3089.32117051,23.9452489407,21.8534320787,26.0370658028,17.8627187166,30.0277791648
female,all,3043.59331844,2981.84336902,3105.34326786,2864.13334761,3223.05328928,31.7017596471,30.6679649196,32.7355543746,28.6973074428,34.7062118515
male,"Age=[0, 30)",5233.4513335,5100.32486319,5366.57780381,4846.42709844,5620.47556856,19.2380006674,17.0247694433,21.4512318915,12.8037121332,25.6722892016
male,"Age=[30, 50)",4701.59916307,4610.5900337,4792.60829245,4437.07731013,4966.12101601,24.0744038965,22.5418633453,25.6069444477,19.6200104846,28.5287973084
male,"Age=[50, inf)",4480.19868478,4340.86390541,4619.53346415,4075.08906716,4885.3083024,18.0267792961,15.5882438405,20.4653147516,10.9368469014,25.1167116907
male,"BMI=[18.5, 25)",5060.50898739,4937.87431179,5183.143663,4704.02077046,5416.99720433,22.639854554,20.6451155131,24.634593595,16.8413235884,28.4383855196
male,"BMI=[25, 30)",5113.74790853,5010.57137277,5216.9244443,4813.83598112,5413.65983594,17.5327211557,15.7836770385,19.2817652728,12.4486272926,22.6168150188
male,"BMI=[30, inf)",4503.00100931,4372.32823983,4633.67377879,4123.08881146,4882.91320716,18.9023803462,16.5432139163,21.2615467762,12.0434448002,25.7613158923
male,all,4755.24983767,4689.94388833,4820.55578701,4565.4583666,4945.04130874,21.9874877375,20.8817392063,23.0932362688,18.773972851,25.201002624
