country,steps_mean,weartime_mean,must_label_ind
Japan,6009.77068005,14.3791120322,True
Saudi Arabia,3806.58807589,15.6210377722,True
United Kingdom,5443.73684836,13.6217383508,True
United States,4773.86079512,14.1080604863,True
Australia,4941.48572785,13.0732802219,False
Belgium,4977.85480396,14.0503821886,False
Brazil,4288.56476837,13.762268876,False
Canada,4819.38655346,13.824929776,False
Chile,5204.17061281,13.7440802181,False
China,6188.65034923,13.3397736102,False
Czech Republic,5507.89300524,13.4507495077,False
Denmark,5262.90490235,13.7377620128,False
Egypt,4314.88214939,15.1128621623,False
Finland,5204.12757666,13.5476149364,False
France,5141.43475733,13.6403631326,False
Germany,5204.85429596,13.6005459299,False
Greece,4349.56966957,14.7344019472,False
Hong Kong,6879.67903106,13.7700859167,False
Hungary,5258.04016514,13.2154874804,False
India,4296.92931653,13.7461197162,False
Indonesia,3513.43838686,13.1115852784,False
Ireland,5292.51119183,14.2266570491,False
Israel,5033.12442585,14.0083972712,False
Italy,5296.10182939,14.1940179836,False
Malaysia,3963.04138368,14.4376500767,False
Mexico,4692.11889659,14.0729409365,False
Netherlands,5110.18835582,14.213720261,False
New Zealand,4582.4270742,12.635649419,False
Norway,5245.60425233,14.5479149923,False
Philippines,4007.80317427,13.1645452173,False
Poland,5248.76924711,13.4942177378,False
Portugal,4743.9058407,14.7301661951,False
Qatar,4157.67452221,14.784289313,False
Romania,4758.76059746,13.3416953815,False
Russia,5969.31079755,14.1075744315,False
Singapore,5674.44589184,13.6854603727,False
South Africa,4104.57106695,12.8765095159,False
South Korea,5755.25108104,14.4763043685,False
Spain,5935.70641601,14.8306844808,False
Sweden,5862.56947302,13.8164046959,False
Switzerland,5512.47626644,13.7442510011,False
Taiwan,5000.01769832,13.843350403,False
Thailand,4763.95942666,13.6916851853,False
Turkey,5056.52764515,14.5260797527,False
Ukraine,6106.9261097,13.6881125157,False
United Arab Emirates,4516.27505989,14.7922747235,False
