"region","steps_mean_filtered"
"Albania",5788.50618003
"Algeria",4205.99119714
"Argentina",4852.16333787
"Armenia",5664.83831488
"Australia",4941.48572785
"Austria",5351.10783886
"Azerbaijan",5506.33481554
"Bahamas",3767.07222701
"Bahrain",4145.10081092
"Bangladesh",3658.10698564
"Barbados",3878.14225217
"Belarus",5976.77434312
"Belgium",4977.85480396
"Bolivia",4608.54570471
"Bosnia and Herzegovina",4952.86936105
"Brazil",4288.56476837
"Brunei",3822.99844868
"Bulgaria",5259.5719648
"Cambodia",3967.55435036
"Canada",4819.38655346
"Chile",5204.17061281
"China",6188.65034923
"Colombia",4609.26542639
"Costa Rica",4031.37852413
"Croatia",5153.59710514
"Cyprus",4199.20846532
"Czech Republic",5507.89300524
"Denmark",5262.90490235
"Dominican Republic",3800.22484582
"Ecuador",4394.38467421
"Egypt",4314.88214939
"El Salvador",3370.07824721
"Estonia",5410.70847128
"Finland",5204.12757666
"France",5141.43475733
"Georgia",4538.62346531
"Germany",5204.85429596
"Ghana",4670.30316204
"Greece",4349.56966957
"Guatemala",3978.48853347
"Honduras",3382.80443121
"Hong Kong SAR China",6879.67903106
"Hungary",5258.04016514
"Iceland",4540.0694439
"India",4296.92931653
"Indonesia",3513.43838686
"Iraq",4222.08952479
"Ireland",5292.51119183
"Israel",5033.12442585
"Italy",5296.10182939
"Jamaica",3925.86260204
"Japan",6009.77068005
"Jordan",4036.76645281
"Kazakhstan",5338.12989482
"Kuwait",4121.67941005
"Latvia",5553.37009773
"Lebanon",3744.3676884
"Libya",3678.34190471
"Lithuania",5498.01639761
"Luxembourg",5069.26623549
"Macau SAR China",6346.89530662
"Macedonia",5316.85520984
"Malaysia",3963.04138368
"Malta",4847.86519748
"Mauritius",4083.90361688
"Mexico",4692.11889659
"Moldova",5578.77164641
"Mongolia",5246.79591912
"Morocco",4531.82531542
"Myanmar",3877.71523244
"Nepal",4405.83999049
"Netherlands",5110.18835582
"New Zealand",4582.4270742
"Nigeria",3964.22278628
"Norway",5245.60425233
"Oman",4197.38895848
"Pakistan",3413.8784518
"Palestine",5044.07716043
"Panama",4170.65176051
"Peru",5074.65897896
"Philippines",4007.80317427
"Poland",5248.76924711
"Portugal",4743.9058407
"Puerto Rico",3910.53999971
"Qatar",4157.67452221
"Romania",4758.76059746
"Russia",5969.31079755
"Saudi Arabia",3806.58807589
"Serbia",4950.60621608
"Singapore",5674.44589184
"Slovakia",5135.73848822
"Slovenia",4761.920432
"South Africa",4104.57106695
"South Korea",5755.25108104
"Spain",5935.70641601
"Sri Lanka",3835.55204165
"Sweden",5862.56947302
"Switzerland",5512.47626644
"Taiwan",5000.01769832
"Thailand",4763.95942666
"Trinidad",3520.29259578
"Tunisia",4349.96622051
"Turkey",5056.52764515
"Ukraine",6106.9261097
"United Arab Emirates",4516.27505989
"UK",5443.73684836
"USA",4773.86079512
"Uruguay",4303.1014981
"Uzbekistan",5463.70889445
"Venezuela",3645.3031271
"Vietnam",3643.40713565
